Source,Target,Weight,Color
0,1,0.2161659022859931,#5572df
1,2,1.071992407124176,#cdd9ec
1,25145,1.1988219776032059,#dcdddd
2,32175,0.5224442335063199,#81a4fb
25145,14867,-0.1524273408578878,#3b4cc0
25145,25197,1.0656170557268725,#cdd9ec
32175,29061,1.0908573959815338,#cfdaea
3,29141,-2.0,#3b4cc0
3,7277,1.0811311871318927,#cedaeb
29141,6,0.4032921451582542,#6f92f3
29141,11025,1.4647726258898046,#f2c9b4
7277,36038,1.2578944687308002,#e2dad5
7277,28431,0.9552546828201799,#bfd3f6
4,28462,0.351409751925439,#688aef
4,35065,0.9813201732591074,#c3d5f4
28462,11073,0.9172954009456894,#bad0f8
28462,28836,0.575880315680646,#89acfd
35065,11472,0.43648069500949493,#7597f6
5,34870,1.0186588975855178,#c7d7f0
34870,114,0.9517259754245921,#bfd3f6
6,29150,0.3827372657613304,#6c8ff1
6,28626,1.4238845544491405,#f1cdba
29150,3,-2.0,#3b4cc0
29150,29149,1.2125870781238937,#dddcdc
28626,28435,1.0148144490870532,#c6d6f1
7,15410,1.1208041778407973,#d4dbe6
7,15407,0.7659664247857139,#a5c3fe
15410,14869,0.9324737646771533,#bcd2f7
15407,15409,0.8477576883923312,#b1cbfc
8,26562,1.25594754939894,#e2dad5
8,281,1.3548572394741183,#ebd3c6
26562,26561,1.3197720914263633,#e9d5cb
26562,386,1.544043226813659,#f6bfa6
281,292,-2.0,#3b4cc0
281,282,1.1714339009430081,#d9dce1
9,17772,0.20601587676334454,#5470de
9,17792,1.8422721562132656,#f39475
17772,22836,1.952627796315486,#ec7f63
17772,22825,1.5407422963305433,#f5c0a7
17792,17790,1.3829890619644598,#edd1c2
10,17065,1.0789640445017605,#cedaeb
10,17062,0.7823292689968369,#a7c5fe
17065,17054,1.062281069972644,#ccd9ed
17065,10,1.3676912979646583,#edd2c3
17065,12648,1.361425612983891,#ecd3c5
17062,17063,1.3130864755178018,#e8d6cc
17062,17059,0.7607993116307178,#a3c2fe
11,29849,0.8261396179359147,#adc9fd
11,27240,0.7814681428417982,#a7c5fe
29849,29881,1.2603576416361524,#e2dad5
29849,32018,1.6869310605050418,#f7ac8e
27240,31676,0.47899913167335717,#7a9df8
12,15412,0.9865478134147242,#c3d5f4
12,15413,1.510129282621902,#f5c4ac
15412,123,1.6921680791705507,#f7ac8e
15413,15414,1.2468923201535986,#e1dad6
15413,15416,0.34163233577805424,#6788ee
13,3782,1.8806992892187016,#f18d6f
3782,19066,1.274619619091238,#e4d9d2
3782,3781,1.2001936371412,#dcdddd
3782,29833,1.5125376503188581,#f5c4ac
14,121,1.3206239550535375,#e9d5cb
14,17354,1.3415730018778453,#ead4c8
121,122,1.2229244665930836,#dedcdb
17354,3687,0.8367037990897312,#aec9fc
17354,15535,1.4032578257871111,#efcebd
15,35,0.9907826918031378,#c4d5f3
35,36,1.428620672671939,#f1cdba
16,30282,1.1995357811983398,#dcdddd
30282,30283,0.6742179455766999,#97b8ff
30282,17208,1.4946554141568607,#f4c6af
17,4623,1.1593867009617544,#d8dce2
4623,18,0.3725438007590703,#6b8df0
18,31472,0.747567162737625,#a2c1ff
18,22525,0.9154526016884788,#bad0f8
31472,18,0.8224949852787508,#adc9fd
31472,11960,1.5147469246343814,#f5c4ac
31472,31203,1.2368142751712723,#e0dbd8
22525,31203,0.6120417446452695,#8fb1fe
22525,29763,1.338097753706539,#ead4c8
19,34561,0.6752282535930639,#97b8ff
19,17653,0.7811807209372617,#a6c4fe
34561,17657,1.040879124515787,#cad8ef
34561,34562,1.399812119978673,#efcfbf
17653,26939,0.8964711004792771,#b7cff9
17653,17659,0.797059694699971,#a9c6fd
20,17651,0.9386698010226792,#bcd2f7
17651,23862,1.1950967106118562,#dbdcde
17651,30085,0.7227983968709053,#9ebeff
21,23524,1.7044165051113729,#f7a98b
21,23520,0.7859701251320095,#a7c5fe
23524,23523,1.5118566343422368,#f5c4ac
23524,23525,1.5619595791939058,#f6bea4
23524,21,1.7897569322852864,#f59c7d
23520,23523,1.7044165051113729,#f7a98b
23520,23519,1.290279528920517,#e6d7cf
22,3854,0.9298274812306914,#bbd1f8
22,3844,0.9870402869792667,#c3d5f4
3854,3792,0.6350814360108731,#92b4fe
3854,3789,1.2958528706439485,#e6d7cf
3844,19038,0.9479236198317263,#bed2f6
3844,3792,1.4546162237926987,#f2cab5
3844,3842,1.3676726727054336,#edd2c3
23,3786,1.5438322204735402,#f6bfa6
23,24,0.7276225779691373,#9fbfff
3786,30545,0.7044079273868409,#9bbcff
3786,23,1.6113940113402916,#f7b79b
24,27823,1.4858633295973347,#f3c7b1
27823,3786,0.6407794773448571,#93b5fe
25,13,0.9993045723383488,#c5d6f2
26,3813,0.6171052305023781,#8fb1fe
3813,19024,-2.0,#3b4cc0
3813,3814,0.6736658762457018,#97b8ff
27,34,1.2706788361447066,#e3d9d3
34,36,1.398235228556343,#efcfbf
28,16137,1.3180424549184342,#e9d5cb
28,637,0.9218944709291023,#bad0f8
16137,653,0.971322245242813,#c1d4f4
637,635,1.3896444310794789,#eed0c0
29,11892,1.251492214569579,#e1dad6
11892,34145,0.5438198051426577,#84a7fc
11892,26833,1.3361594264847807,#ead5c9
30,31,0.8997110945711446,#b7cff9
30,26,1.6490718653987013,#f7b194
31,34175,1.0731315649409932,#cedaeb
34175,27823,0.9668922958671364,#c0d4f5
32,30280,0.686814954507317,#98b9ff
32,3781,1.5741470641507227,#f7bca1
30280,3811,0.7420964023032444,#a1c0ff
3781,33,1.485976818715875,#f3c7b1
3781,32,1.549027797744102,#f6bfa6
3781,3782,1.1998922435263193,#dcdddd
3781,3780,1.062168173351783,#ccd9ed
33,3781,1.7492878798604499,#f6a385
36,17204,1.533924504819994,#f5c1a9
17204,17205,1.068853493671498,#cdd9ec
17204,28306,1.2932741397107528,#e6d7cf
37,33457,0.21748394421390624,#5673e0
37,38,0.899382705533265,#b7cff9
33457,37,-2.0,#3b4cc0
33457,38,1.351603072419129,#ebd3c6
33457,19052,1.5084489124807934,#f5c4ac
38,19056,0.7417816961431667,#a1c0ff
38,33457,1.5084489124807934,#f5c4ac
19056,30281,0.3636119798921442,#6a8bef
19056,19055,1.3577252684006318,#ecd3c5
39,30529,0.6695957810243133,#97b8ff
39,110,1.6565294062334983,#f7b194
30529,44,1.0210651972025688,#c7d7f0
30529,30528,0.8881794939183248,#b6cefa
110,16,0.825555932290357,#adc9fd
110,30283,1.3530887648339482,#ebd3c6
40,34265,0.6591552809406297,#96b7ff
40,41,1.2655253352190738,#e3d9d3
34265,43,-0.27002571430044436,#3b4cc0
41,16,1.4621283521149064,#f2c9b4
42,41,0.6816933920045641,#98b9ff
42,34265,1.3055233332112555,#e7d7ce
43,19069,0.9608036249117697,#c0d4f5
43,29835,1.2865462835166968,#e5d8d1
19069,34008,0.8274338954007793,#adc9fd
19069,19070,1.4506493371971347,#f2cab5
29835,19074,1.19122738187401,#dbdcde
29835,43,1.395937645080042,#efcfbf
44,34176,0.19340290306241747,#536edd
34176,136,0.9215304135012424,#bad0f8
34176,3745,0.8201357518704301,#adc9fd
45,49,0.720572720364261,#9ebeff
45,46,1.455606112581867,#f2cab5
49,11,1.175134758658844,#d9dce1
46,40,1.0632207355819945,#ccd9ed
47,48,0.8254910298794309,#adc9fd
47,6455,0.2521245525056442,#5a78e4
48,49,1.321764081075497,#e9d5cb
6455,46,1.138081546495746,#d5dbe5
6455,48,0.8980666606416347,#b7cff9
50,51,0.719911064198339,#9ebeff
51,30754,0.8297539189249751,#aec9fc
51,21887,1.0394537789617364,#cad8ef
30754,6454,1.1845210858529112,#dadce0
30754,30771,0.800648355363988,#aac7fd
21887,35897,0.5148132949992854,#80a3fa
52,92,1.315886415708487,#e8d6cc
92,253,1.1209028176145273,#d4dbe6
92,105,1.1113297367041501,#d3dbe7
53,60,0.6230424342463816,#90b2fe
53,4626,1.252634615712395,#e2dad5
60,34677,0.934144811792477,#bcd2f7
4626,30278,0.8508299598485309,#b1cbfc
4626,28518,0.13703745478951265,#4b64d5
54,53,0.7194970166105816,#9ebeff
54,4658,1.1755697927349913,#d9dce1
4658,30769,1.0306806639999013,#c9d7f0
4658,28513,0.24501887073775308,#5a78e4
4658,4627,0.9678286793301553,#c0d4f5
55,28549,0.6073477767684133,#8db0fe
55,31658,1.2155846941816149,#dedcdb
28549,28548,0.5600262489128922,#86a9fc
28549,73,1.4218834961921065,#f1cdba
31658,31657,0.3244882333076563,#6485ec
31658,56,0.7768464086952993,#a6c4fe
56,57,1.1076508261464866,#d2dbe8
57,35703,0.7831886910752576,#a7c5fe
57,59,1.2052314388200032,#dddcdc
57,19087,0.7587605439099796,#a3c2fe
35703,1711,0.916611845109346,#bad0f8
35703,35702,1.2271923065140367,#dfdbd9
59,72,1.345608950540594,#ead4c8
59,1475,1.431556741048145,#f1ccb8
59,57,1.1584228065848825,#d8dce2
19087,1535,0.7331169814420644,#9fbfff
19087,29466,1.1739725328179622,#d9dce1
58,32015,0.6517624473801108,#94b6ff
58,187,1.2087100199064011,#dddcdc
32015,31680,1.440987751476157,#f2cbb7
32015,58,-2.0,#3b4cc0
32015,31664,1.1877462697804593,#dbdcde
187,186,1.3392128616546415,#ead4c8
187,185,1.0007376737740332,#c5d6f2
72,58,1.4636242701064028,#f2c9b4
72,31658,1.4504954466594333,#f2cab5
1475,59,1.5162841111139804,#f5c2aa
1475,19087,1.5232781125229127,#f5c2aa
34677,54,0.11360915107302785,#4961d2
34677,28790,0.8882918453565154,#b6cefa
61,66,0.6114046377115935,#8db0fe
61,17220,0.8276277047674334,#adc9fd
66,31678,-2.0,#3b4cc0
66,4633,1.1545456924209099,#d7dce3
17220,17219,-2.0,#3b4cc0
17220,32047,1.3889887851247142,#eed0c0
62,63,1.019697730980192,#c7d7f0
62,577,1.4163242391364133,#f0cdbb
63,3725,0.9655779579105279,#c0d4f5
63,29966,1.1909476791001872,#dbdcde
577,34895,1.3808441264646656,#edd1c2
577,578,1.4771791567905306,#f3c8b2
3725,18162,1.0151081606458372,#c6d6f1
3725,3724,1.3183346842261365,#e9d5cb
29966,3728,1.2039299372446264,#dcdddd
29966,3724,1.1615776110488705,#d8dce2
29966,583,1.4843710293284063,#f3c7b1
64,17302,1.0714032835314686,#cdd9ec
64,21884,1.1551841596940076,#d7dce3
17302,16224,1.1217567584878154,#d4dbe6
21884,21883,1.3097365991092897,#e8d6cc
21884,584,1.0299921753778474,#c9d7f0
65,62,0.49858620881751764,#7da0f9
65,17217,1.1890128046002413,#dbdcde
17217,17216,0.9892272737305368,#c4d5f3
17217,17215,1.1580909731855595,#d8dce2
31678,34302,0.21085336531489318,#5572df
31678,31253,1.6762453693429875,#f7ad90
4633,4652,1.5856186260679215,#f7ba9f
4633,4632,0.9748339550485401,#c1d4f4
67,3729,1.4890580369990618,#f4c6af
67,4643,0.5856862784524969,#8badfd
3729,4644,0.7471009313649862,#a2c1ff
3729,67,1.316599302093861,#e8d6cc
3729,3736,1.4522005825530924,#f2cab5
4643,4644,1.5312489355513623,#f5c1a9
4643,4645,0.8943160626844384,#b7cff9
68,16226,0.47055748521727414,#799cf8
16226,17178,0.9831299247347001,#c3d5f4
16226,99,1.2600475249953216,#e2dad5
69,70,-2.0,#3b4cc0
69,2216,1.2619761913978127,#e3d9d3
70,28500,0.48826861549545986,#7b9ff9
70,88,1.3740698037260748,#edd2c3
2216,2155,1.2404244330836078,#e0dbd8
2216,2221,1.0255925688516736,#c7d7f0
28500,68,1.1394067704417925,#d6dce4
88,89,1.6075515223778039,#f7b89c
88,103,1.1260989232886043,#d4dbe6
71,19735,1.0762762554042176,#cedaeb
71,264,1.4267714347926967,#f1cdba
19735,19734,1.2953691485100065,#e6d7cf
19735,319,1.1461590556048185,#d6dce4
264,104,1.300008202553813,#e7d7ce
264,71,1.324652785542988,#e9d5cb
264,252,1.2186405214138485,#dedcdb
73,338,0.5920656704322471,#8badfd
73,341,1.2135974367473592,#dddcdc
338,33957,0.45331834004703764,#779af7
338,33367,0.8087509723495947,#aac7fd
341,19687,1.0670336398422622,#cdd9ec
341,786,1.3895204658463776,#eed0c0
74,1355,1.2695596400388207,#e3d9d3
74,1705,1.34409740359441,#ead4c8
1355,27914,1.1838959153856103,#dadce0
1355,1691,1.2594027281425884,#e2dad5
1705,1701,0.5829719291048059,#89acfd
1705,1270,1.142389466118836,#d6dce4
75,33337,0.8014723135214711,#aac7fd
75,16462,1.1295610023090825,#d5dbe5
33337,1780,0.5129510799724906,#80a3fa
16462,1778,1.2870175013221017,#e5d8d1
16462,1699,1.03650912853273,#cad8ef
76,75,0.4553017716570763,#779af7
76,1743,0.9264453478183894,#bbd1f8
1743,20021,0.7616271845615827,#a3c2fe
1743,1726,1.0982629023799295,#d1dae9
77,74,-2.0,#3b4cc0
77,1416,1.361085360488826,#ecd3c5
1416,1415,1.2375186046331073,#e0dbd8
1416,2244,1.2403495267422193,#e0dbd8
78,1327,1.2841373449870113,#e5d8d1
1327,2742,1.2558270827032345,#e2dad5
1327,2291,0.7692295817365937,#a5c3fe
79,18465,1.3508099109363652,#ebd3c6
79,16180,1.1282699951696267,#d4dbe6
18465,79,1.4085113145752246,#efcebd
18465,14641,1.402054936016676,#efcfbf
18465,14635,1.2675002593932656,#e3d9d3
16180,80,0.39741854235134777,#6f92f3
16180,14648,0.39741854235134777,#6f92f3
16180,14641,1.190807760131902,#dbdcde
80,16181,0.5199591807520684,#81a4fb
80,14646,0.9262909868848633,#bbd1f8
16181,14648,0.5861370252307931,#8badfd
14646,14644,0.43727479741012354,#7597f6
14646,14641,1.4165739436962006,#f0cdbb
81,30238,1.4028457816557252,#efcebd
81,2003,1.0500315623684018,#cbd8ee
30238,30237,0.7927417858347486,#a9c6fd
30238,1998,1.3005954838899636,#e7d7ce
2003,1997,1.5880250696328333,#f7ba9f
2003,2000,0.9415611202360707,#bed2f6
82,944,1.2558511787157745,#e2dad5
82,1340,1.3633675029434864,#ecd3c5
944,1548,1.3813678189115484,#edd1c2
944,339,1.3502480183341627,#ebd3c6
1340,1341,-2.0,#3b4cc0
1340,1345,1.3352371869097286,#ead5c9
83,82,-2.0,#3b4cc0
83,1544,1.2375186046331073,#e0dbd8
1544,1483,1.198134519831676,#dcdddd
1544,1545,1.4360830986419801,#f1ccb8
84,1551,1.348012638422195,#ebd3c6
84,83,1.3172273491764201,#e8d6cc
1551,17853,0.9722491359625957,#c1d4f4
1551,1552,1.5407798061103448,#f5c0a7
85,86,-2.0,#3b4cc0
85,1527,1.206583034837791,#dddcdc
86,1351,1.2303211689190785,#dfdbd9
86,1335,1.3718249073288924,#edd2c3
1527,26596,0.8944822150100906,#b7cff9
1527,1493,1.219951085755317,#dedcdb
1351,1698,1.2896112463482998,#e6d7cf
1351,1528,1.1519211797999052,#d7dce3
1335,1336,-2.0,#3b4cc0
1335,36013,1.3880123433641907,#eed0c0
87,27547,1.1967011124333857,#dcdddd
27547,27548,0.8384082784941868,#afcafc
27547,27549,0.13924921757160705,#4b64d5
89,253,0.9838517189914717,#c3d5f4
89,88,1.453119497764002,#f2cab5
89,68,1.5861370252307931,#f7ba9f
103,3714,0.8372095278012065,#aec9fc
103,104,1.4288957628013876,#f1cdba
253,180,1.5590923076749008,#f6bea4
253,92,1.16542240081457,#d8dce2
253,89,1.2786392978907393,#e4d9d2
90,251,1.4462264017781632,#f2cbb7
90,16451,1.0750722627061187,#cedaeb
251,250,1.1878871784095475,#dbdcde
251,252,1.4303331033800322,#f1cdba
251,90,1.0753279341632587,#cedaeb
16451,16452,0.6603910984024671,#96b7ff
16451,318,1.3361193698086868,#ead5c9
91,248,0.7824009524965299,#a7c5fe
91,31656,1.1902476330381964,#dbdcde
248,93,1.217589214965095,#dedcdb
248,247,1.1846914308175989,#dadce0
31656,184,1.2193749246262562,#dedcdb
31656,16453,1.0989550604384692,#d1dae9
105,180,1.1885910365939902,#dbdcde
105,16446,0.9863237770507653,#c3d5f4
93,231,-2.0,#3b4cc0
93,216,1.1879998724048353,#dbdcde
231,192,1.2412724699016957,#e0dbd8
231,91,1.4201373545938254,#f0cdbb
216,215,1.2505907587001928,#e1dad6
216,33756,1.0740846890282438,#cedaeb
94,95,1.1057825978144415,#d2dbe8
95,17300,0.4949889736831681,#7da0f9
95,35566,-0.19859628998264486,#3b4cc0
95,34358,0.6713580034434916,#97b8ff
17300,31667,1.4434663930886538,#f2cbb7
35566,34392,0.4646385590950328,#799cf8
34358,31673,1.184975190698261,#dadce0
96,94,0.5974757898703774,#8caffe
96,98,1.346587664800529,#ebd3c6
98,107,1.3039084935359546,#e7d7ce
98,97,1.4414123202233835,#f2cbb7
97,108,1.3856062735983121,#eed0c0
97,98,1.2691859328139516,#e3d9d3
108,261,1.1790919769539938,#dadce0
108,107,1.3414147385018296,#ead4c8
107,262,1.2305510962950852,#dfdbd9
107,98,1.3041672717243966,#e7d7ce
107,108,1.2084951024298374,#dddcdc
107,106,1.3308802877944312,#ead5c9
99,31674,1.044539760392411,#cad8ef
99,100,1.1967839377377092,#dcdddd
31674,29709,1.003977241845537,#c5d6f2
100,98,0.6139474767803498,#8fb1fe
100,94,1.3636307801121383,#ecd3c5
101,21864,0.6623800200162476,#96b7ff
21864,183,1.0565618518594597,#ccd9ed
21864,1167,1.2486107449683037,#e1dad6
102,17179,1.0909982977531982,#cfdaea
102,256,1.1144775399288025,#d3dbe7
17179,17226,1.3137617962924364,#e8d6cc
256,255,1.1517374810385184,#d7dce3
256,102,1.0691128513871209,#cdd9ec
256,31868,1.3919402351671355,#eed0c0
3714,71,1.0250189722827596,#c7d7f0
3714,3710,1.2519300850303685,#e2dad5
104,89,1.287644997457547,#e5d8d1
104,180,1.149311505907915,#d7dce3
104,103,1.4543264450192865,#f2cab5
180,252,1.4900568521459285,#f4c6af
180,104,1.2289390424565416,#dfdbd9
180,105,1.072213122603382,#cdd9ec
16446,252,1.4462264017781632,#f2cbb7
16446,90,0.9419087743655994,#bed2f6
106,96,1.0258790832933666,#c7d7f0
262,261,1.3837076763120935,#eed0c0
262,107,1.4202693840782254,#f0cdbb
262,317,1.5661899268272739,#f6bda2
262,263,1.3289908554494287,#ead5c9
261,260,1.3208522198317545,#e9d5cb
261,262,1.3414147385018296,#ead4c8
261,316,1.361160995195026,#ecd3c5
109,312,0.5802405082653763,#89acfd
312,257,1.0714401271778875,#cdd9ec
312,259,1.0723234382930409,#cdd9ec
30283,19051,1.14126159062209,#d6dce4
111,21172,1.0313276577611308,#c9d7f0
111,21175,1.016197353512439,#c6d6f1
111,31709,1.3136141595781319,#e8d6cc
111,8425,1.1496501130981152,#d7dce3
21172,111,-2.0,#3b4cc0
21172,31713,0.5182506513084999,#81a4fb
21172,8697,1.5369370227046735,#f5c0a7
21175,111,0.6993173010213823,#9bbcff
21175,15957,1.4761647543228253,#f3c8b2
21175,21174,1.358677084512974,#ecd3c5
31709,31708,0.7897216939809218,#a7c5fe
31709,111,1.2309085193207645,#dfdbd9
31709,8422,1.0878523751631686,#cfdaea
8425,8431,1.3136141595781319,#e8d6cc
8425,111,1.2098098057853794,#dddcdc
8425,8705,1.4055853869044947,#efcebd
112,21170,0.9904276584852635,#c4d5f3
112,21168,0.8902533051545345,#b6cefa
112,8680,0.9486574321413204,#bed2f6
112,21163,1.2197678446583988,#dedcdb
21170,112,0.9799578933406655,#c3d5f4
21170,8689,1.5769284603024192,#f7bca1
21170,21171,1.6473731885972172,#f7b194
21168,8692,1.4030346837445862,#efcebd
21168,112,0.9649192942866426,#c0d4f5
21168,8682,1.5472823079633031,#f6bfa6
21168,21169,1.3425016362777284,#ead4c8
8680,21164,1.035749837319661,#cad8ef
8680,8685,1.7413092088995694,#f6a586
8680,112,1.1886472959997172,#dbdcde
8680,21154,1.1458487565905437,#d6dce4
21163,21164,1.001949941084268,#c5d6f2
21163,112,0.8757555792580545,#b5cdfa
21163,21160,1.0106391167366298,#c6d6f1
113,33593,1.8751133756028584,#f18d6f
113,30735,1.4736183334000952,#f3c8b2
113,26689,1.263020283104046,#e3d9d3
33593,113,1.811722426504338,#f4987a
33593,27504,1.4154574834060352,#f0cdbb
30735,28560,0.864036182725775,#b2ccfb
26689,466,1.2806921642851177,#e5d8d1
26689,19610,1.3735372311927854,#edd2c3
114,11448,1.1129399760840801,#d3dbe7
114,11425,1.1529301364227256,#d7dce3
11448,11428,1.3997429262428616,#efcfbf
11448,114,0.9353560929455731,#bcd2f7
11448,11452,0.891147030448771,#b6cefa
11425,11428,0.9700677965491371,#c1d4f4
11425,11422,0.18184358794477254,#516ddb
115,15852,1.1763228210349892,#d9dce1
115,15860,1.1099832948198922,#d2dbe8
15852,15860,1.1465311220074452,#d6dce4
15852,15866,1.4422915862860712,#f2cbb7
15860,15392,0.7794521834040617,#a6c4fe
15860,15391,1.6613488119743263,#f7b093
116,15856,1.3574393163138991,#ecd3c5
